parroquia,total_puntos,lat_min,lat_max,lon_min,lon_max,area_aprox,densidad_puntos
QUITUMBE,62,-0.3194333,-0.2810405,-78.5585467,-78.3988,0.006133123103759971,10109.042155372732
RUMIPAMBA,9,-0.1850413,-0.1578345,-78.507714,-78.4875,0.0005499582552002707,16364.878451951949
SAN ANTONIO,24,-0.014851,0.043528,-78.4795784,-78.433332,0.002699818585600066,8889.48617807434
SAN BARTOLO,33,-0.269314,-0.2518044,-78.5462933,-78.523432,0.0004002922184800426,82439.77393641311
SAN ISIDRO DEL INCA,11,-0.148472,-0.1278199,-78.466549,-78.4478,0.00038720622289999357,28408.634338609394
SAN JOSE DE MINAS,3,0.171206,0.1758,-78.41073,-78.4051,2.5864219999983873e-05,115990.35269580412
SAN JUAN,39,-0.217279,-0.204768,-78.5327,-78.500286,0.00040553155400003524,96170.07509111513
SOLANDA,31,-0.2819,-0.2646827,-78.549631,-78.5291373,0.0003528461810100505,87856.9803738842
TABABELA,5,-0.19529,-0.182752,-78.345465,-78.331072,0.0001804594339999789,27707.05797514906
TUMBACO,27,-0.2333803,-0.1766907,-78.43064,-78.3739042,0.0032163298076799125,8394.661497564626
TURUBAMBA,54,-0.3557583,-0.3118763,-78.550483,-78.5241122,0.0011572034455997876,46664.2233095075
YARUQUI,15,-0.213438,-0.116528,-78.346915,-78.3074663,0.0038229735169994293,3923.647373778613
ZAMBIZA,17,-0.149997,-0.1385891,-78.442647,-78.411515,0.0003551507427999942,47866.99829478796
