nombre,latitud,longitud,administracion_zonal,parroquia,area_km2,densidad_puntos,nivel_necesidad
MERCADO MENA DOS,-0.2582976,-78.5525506,ELOY ALFARO,LA MENA,4.0,6.25,2
ESTADIO NANEGALITO,0.0604322,-78.6826878,CHOCO ANDINO,NANEGALITO,45.0,0.1111111111111111,4
MERCADO DE TOCTIUCO,-0.2097144,-78.5222299,MANUELA SAENZ,SAN JUAN,4.2,9.285714285714285,1
MERCADO SAN ROQUE,-0.2184775082,-78.5217202195,MANUELA SAENZ,LA LIBERTAD,2.0,7.0,1
MERCADO SAN JUAN,-0.2101021,-78.5116377,MANUELA SAENZ,SAN JUAN,4.2,9.285714285714285,1
MERCADO LA MAGDALENA,-0.2415179,-78.5297873,ELOY ALFARO,LA MAGDALENA,3.8,5.0,2
MERCADO BELLAVISTA,-0.1897725,-78.4714192,EUGENIO ESPEJO,IÑAQUITO,5.5,8.909090909090908,1
MERCADO DE SOLANDA,-0.2687899,-78.5430372,ELOY ALFARO,SOLANDA,4.5,6.888888888888889,1
MERCADO DE CONOCOTO,-0.2974283,-78.4804313,LOS CHILLOS,CONOCOTO,50.0,0.72,3
MERCADO CUMBAYA,-0.200867,-78.433837,TUMBACO,CUMBAYA,26.51,0.6035458317615994,4
MERCADO DE CARAPUNGO,-0.0962379,-78.4506818,CALDERON,CALDERON,30.0,4.566666666666666,2
MERCADO LA KENNEDY,-0.1395295,-78.4779727,EUGENIO ESPEJO,KENNEDY,3.0,5.0,2
MERCADO COMITE DEL PUEBLO,-0.1189525,-78.4655356,LA DELICIA,COMITE DEL PUEBLO,4.0,3.5,2
MERCADO SANTA MARTHA DE CHILLOGALLO,-0.276045,-78.559145,QUITUMBE,CHILLOGALLO,18.0,1.7222222222222223,3
MERCADO CENTRAL,-0.219845,-78.507137,MANUELA SAENZ,CENTRO HISTORICO,3.5,17.428571428571427,1
MERCADO SANTA CLARA,-0.199831,-78.4999794,LA MARISCAL,BELISARIO QUEVEDO,2.5,11.2,1
LIGA DEPORTIVA BARRIAL HIERBA BUENA,-0.27579,-78.521482,ELOY ALFARO,LA ARGELIA,7.0,5.0,2
COLEGIO MONTUFAR,-0.240344,-78.509984,ELOY ALFARO,CHIMBACALLE,3.1,10.96774193548387,1
CASA DE LA CULTURA,-0.2115148,-78.4975763,MANUELA SAENZ,ITCHIMBIA,8.0,6.625,1
PARQUE CENTRAL LA CAPILLA CALDERON,-0.1145884,-78.4129771,CALDERON,CALDERON,30.0,4.566666666666666,2
PARQUE LINEAL BICENTENARIO1,-0.0666401,-78.4532192,CALDERON,CALDERON,30.0,4.566666666666666,2
UPC SANTA ISABEL,-0.3422,-78.4797,LOS CHILLOS,AMAGUAÑA,50.0,0.92,3
COCHAPAMBA,-0.1584762,-78.504036,EUGENIO ESPEJO,COCHAPAMBA,3.0,5.333333333333333,2
ECOVIA CASADELACULTURA,-0.211644,-78.4961512,MANUELA SAENZ,ITCHIMBIA,8.0,6.625,1
DIVERSIDADES,-0.2611634,-78.5235514,ELOY ALFARO,SAN BARTOLO,4.0,8.25,1
COMITE PROMEJORAS BUENAVENTURA ALTA,-0.2791442,-78.5858267,QUITUMBE,CHILLOGALLO,18.0,1.7222222222222223,3
TUMBACO,-0.2121,-78.4049,TUMBACO,TUMBACO,57.0,0.47368421052631576,4
COTOCOLLAO,-0.1106748,-78.4996276,LA DELICIA,COTOCOLLAO,10.0,1.8,3
PARQUE SUCRE,-0.22,-78.5001,MANUELA SAENZ,ITCHIMBIA,8.0,6.625,1
CASA SOMOS SAN DIEGO,-0.223874718,-78.5214920044,MANUELA SAENZ,CENTRO HISTORICO,3.5,17.428571428571427,1
PARQUE SAUSALITO,-0.304,-78.4869,LOS CHILLOS,CONOCOTO,50.0,0.72,3
CALDERON,-0.1002875,-78.4211765,CALDERON,CALDERON,30.0,4.566666666666666,2
ATAHUALPA,-0.2490028,-78.5276064,ELOY ALFARO,LA MAGDALENA,3.8,5.0,2
LLOA,-0.2476875,-78.5826647,ELOY ALFARO,LLOA,260.0,0.019230769230769232,5
PARQUE PASAJE J CARAPUNGO,-0.110657,-78.466017,LA DELICIA,COMITE DEL PUEBLO,4.0,3.5,2
CASA DEL ADULTO MAYOR CALACALI,0.001069,-78.5154606,CHOCO ANDINO,CALACALI,100.0,0.06,5
CASA SOMOS TOCTIUCO,-0.208005473,-78.5228729248,MANUELA SAENZ,SAN JUAN,4.2,9.285714285714285,1
CHILLOGALLO,-0.275939,-78.553182,ELOY ALFARO,LA MENA,4.0,6.25,2
PIFO,-0.2253216,-78.3371159,TUMBACO,PIFO,100.0,0.13,4
INFOCENTRO ATAHUALPA,-0.1339172,-78.3776584,TUMBACO,PUEMBO,40.0,0.3,4
SAN JOSE DE MONJAS,-0.2323483,-78.49372,MANUELA SAENZ,PUENGASI,15.0,3.2,3
SAN ANTONIO DE PICHINCHA,-0.0023732,-78.4501093,LA DELICIA,SAN ANTONIO,80.0,0.3,4
ZAMBIZA,-0.148018,-78.440879,EUGENIO ESPEJO,ZAMBIZA,18.0,0.9444444444444444,3
BELLAVISTA,-0.1876271,-78.4734125,EUGENIO ESPEJO,IÑAQUITO,5.5,8.909090909090908,1
SOLANDA,-0.268513,-78.542904,ELOY ALFARO,SOLANDA,4.5,6.888888888888889,1
COMPLEJO DEPORTIVO SANTA ROSA,-0.380425,-78.4816,LOS CHILLOS,AMAGUAÑA,50.0,0.92,3
CASA SOMOS FERROVIARIA,-0.262961,-78.514818,ELOY ALFARO,LA FERROVIARIA,3.0,9.666666666666666,1
COCOTOC,-0.139745,-78.426,EUGENIO ESPEJO,ZAMBIZA,18.0,0.9444444444444444,3
CHILIBULO,-0.241936,-78.546573,ELOY ALFARO,CHILIBULO,5.0,5.2,2
NAYON,-0.156394,-78.4396048,EUGENIO ESPEJO,NAYON,20.0,0.3,4
ROLDOS PISULI,-0.0855709,-78.5100889,LA DELICIA,EL CONDADO,15.0,3.7333333333333334,2
CARCELEN BAJO,-0.0772486,-78.4627151,LA DELICIA,CARCELEN,7.5,2.933333333333333,3
SAN BARTOLO,-0.2681333,-78.5281967,ELOY ALFARO,SAN BARTOLO,4.0,8.25,1
CHIRIYACU,-0.247004,-78.518124,ELOY ALFARO,CHIMBACALLE,3.1,10.96774193548387,1
CARCELEN ALTO,-0.0887488,-78.4696013,LA DELICIA,CARCELEN,7.5,2.933333333333333,3
CANCHA VIRGEN DE LOURDES,-0.2878483,-78.4079467,LOS CHILLOS,LA MERCED,1.5,7.333333333333333,1
UPC SAN MARCOS ARGELIA,-0.272549,-78.523756,ELOY ALFARO,LA ARGELIA,7.0,5.0,2
PUENGASI,-0.2547615,-78.4872541,MANUELA SAENZ,PUENGASI,15.0,3.2,3
GUAPULO,-0.1965103,-78.4753252,MANUELA SAENZ,ITCHIMBIA,8.0,6.625,1
POMASQUI,-0.057236,-78.454299,LA DELICIA,POMASQUI,8.0,2.5,3
CEDOC GUAMANI,-0.34114,-78.56012,QUITUMBE,GUAMANI,12.0,4.083333333333333,2
CENTRO HISTORICO,-0.2307127,-78.5154988,MANUELA SAENZ,CENTRO HISTORICO,3.5,17.428571428571427,1
PARQUE EQUINOCCIAL POMASQUI,-0.0403206,-78.4460094,LA DELICIA,POMASQUI,8.0,2.5,3
PATRONATO SAN JOSE,-0.2207731456,-78.5183258057,MANUELA SAENZ,CENTRO HISTORICO,3.5,17.428571428571427,1
PARQUE LINEAL CALDERON,-0.099,-78.4361,CALDERON,CALDERON,30.0,4.566666666666666,2
PARQUE CARDENAL DE LA TORRE,-0.2605597,-78.535764507,ELOY ALFARO,SAN BARTOLO,4.0,8.25,1
TERMINAL TERRESTRE QUITUMBE,-0.295308,-78.554848,QUITUMBE,QUITUMBE,10.0,6.2,2
PARQUE SAUSALITO,-0.3032,-78.4836,LOS CHILLOS,CONOCOTO,50.0,0.72,3
PARQUE DE LA MUJER 2,-0.1850413,-78.4981634,EUGENIO ESPEJO,RUMIPAMBA,4.5,2.0,3
PARQUE LA PUNTILLA CALDERON,-0.08866,-78.4511,CALDERON,CALDERON,30.0,4.566666666666666,2
CASA SOMOS SAN MARCOS,-0.2248149216,-78.5088729858,MANUELA SAENZ,CENTRO HISTORICO,3.5,17.428571428571427,1
AV. PATRIA,-0.207571,-78.497865,MANUELA SAENZ,ITCHIMBIA,8.0,6.625,1
PARQUE PLAZA CIVICA,-0.096011,-78.452755,CALDERON,CALDERON,30.0,4.566666666666666,2
TROLE PLAZA DE TOROS,-0.1620266,-78.4856111,EUGENIO ESPEJO,JIPIJAPA,4.5,2.2222222222222223,3
CASA SOMOS SANTA ANA,-0.2378903231,-78.5196546976,ELOY ALFARO,LA MAGDALENA,3.8,5.0,2
UPC LUCHA DE LOS POBRES MEDIA,-0.287126,-78.531052,ELOY ALFARO,LA ARGELIA,7.0,5.0,2
CASA SOMOS ROLDOS PISULI,-0.0854898,-78.5098486,LA DELICIA,EL CONDADO,15.0,3.7333333333333334,2
PLAZA QUITUMBE,-0.2950494,-78.5457516,QUITUMBE,QUITUMBE,10.0,6.2,2
CANCHAS DEPORTIVAS CENTRO DE SALUD,-0.273362,-78.518394,ELOY ALFARO,LA ARGELIA,7.0,5.0,2
PARQUE BILOXI,-0.2558083,-78.5461149,ELOY ALFARO,LA MENA,4.0,6.25,2
PARQUE EL EJIDO 1,-0.2103392,-78.5005455,MANUELA SAENZ,ITCHIMBIA,8.0,6.625,1
PARQUE LLANO GRANDE,-0.123499,-78.427204,CALDERON,CALDERON,30.0,4.566666666666666,2
PARQUE EL CAMPAMENTO,-0.1807418,-78.3735067,TUMBACO,PUEMBO,40.0,0.3,4
UNIDAD EDUCATIVA PICHINCHA,-0.208406,-78.520025,MANUELA SAENZ,SAN JUAN,4.2,9.285714285714285,1
CASA COMUNAL GUAMANI ALTO,-0.329179,-78.557003,QUITUMBE,GUAMANI,12.0,4.083333333333333,2
SAN JOSE OBRERO,-0.11497,-78.5186417,LA DELICIA,EL CONDADO,15.0,3.7333333333333334,2
ULTIMA PARADA DE BUSES COCOTOG,-0.140383,-78.411515,EUGENIO ESPEJO,ZAMBIZA,18.0,0.9444444444444444,3
TROLE JEFFERSON PEREZ,-0.2353,-78.5143,ELOY ALFARO,CHIMBACALLE,3.1,10.96774193548387,1
PARQUE CUMANDA,-0.2290655,-78.5105437,MANUELA SAENZ,CENTRO HISTORICO,3.5,17.428571428571427,1
ESTACION MULTIMODAL EL LABRADOR,-0.1545401,-78.4879657,EUGENIO ESPEJO,LA CONCEPCION,2.5,4.8,2
PARQUE SANTA ISABEL LOS CHILLOS,-0.339731,-78.48798,LOS CHILLOS,AMAGUAÑA,50.0,0.92,3
PLAZA CIVICA DE CARAPUNGO,-0.0975,-78.4531,CALDERON,CALDERON,30.0,4.566666666666666,2
PARQUE DE LA MENA 2,-0.2503675,-78.5544663,ELOY ALFARO,LA MENA,4.0,6.25,2
CASA BARRIAL VISTA HERMOSA,-0.0851444,-78.5149111,LA DELICIA,EL CONDADO,15.0,3.7333333333333334,2
SAN JOSE OBRERO,-0.1160567,-78.5186283,LA DELICIA,EL CONDADO,15.0,3.7333333333333334,2
PARQUE SAN CARLOS,-0.129733,-78.502875,EUGENIO ESPEJO,LA CONCEPCION,2.5,4.8,2
PARQUE LUCIANO ANDRADE MARIN,-0.125815,-78.498255,LA DELICIA,COTOCOLLAO,10.0,1.8,3
PARQUE SAN JOSE LA MAGDALENA,-0.2447156,-78.5271051,ELOY ALFARO,LA MAGDALENA,3.8,5.0,2
PARQUE EL CALZADO,-0.255165,-78.5256233,ELOY ALFARO,SAN BARTOLO,4.0,8.25,1
BOULEVARD COCOTOG,-0.138641,-78.4319517,CALDERON,LLANO CHICO,15.0,1.2666666666666666,3
UNIDAD EDUCATIVA 10 DE AGOSTO,-0.212616,-78.511522,MANUELA SAENZ,SAN JUAN,4.2,9.285714285714285,1
ESTADIO DE PUEMBO,-0.180763,-78.3617767,TUMBACO,PUEMBO,40.0,0.3,4
ESCUELA PABLO NERUDA,-0.256839,-78.556124,ELOY ALFARO,LA MENA,4.0,6.25,2
PLAZA QUITUMBE,-0.29349,-78.547694,QUITUMBE,QUITUMBE,10.0,6.2,2
PARQUE PUERTAS DEL SOL,-0.1111155,-78.4643831,LA DELICIA,COMITE DEL PUEBLO,4.0,3.5,2
GAD CALDERON,-0.077218,-78.43277,CALDERON,CALDERON,30.0,4.566666666666666,2
CENTRO COMERCIAL EL TEJAR,-0.215412,-78.5157,MANUELA SAENZ,SAN JUAN,4.2,9.285714285714285,1
CANCHA CHILLOGALLO,-0.2813622,-78.5546946,QUITUMBE,CHILLOGALLO,18.0,1.7222222222222223,3
MIRADOR CARAPUNGO ALTO,-0.3600383,-78.511505,LOS CHILLOS,AMAGUAÑA,50.0,0.92,3
PARQUE LA ISLA,-0.1917976,-78.5028896,LA MARISCAL,BELISARIO QUEVEDO,2.5,11.2,1
PARQUE DE LAS DIVERSIDADES,-0.2610944,-78.525215,ELOY ALFARO,SAN BARTOLO,4.0,8.25,1
AV. PATRIA,-0.2066472,-78.4985744,LA MARISCAL,MARISCAL SUCRE,2.8,10.714285714285715,1
ECOVIA GUAMANI,-0.3398,-78.5494,QUITUMBE,GUAMANI,12.0,4.083333333333333,2
PLAZA DE LOS RITUALES,-0.3833363,-78.5101082,LOS CHILLOS,AMAGUAÑA,50.0,0.92,3
ESCUELA AFRASER,-0.3072836,-78.3975367,LOS CHILLOS,LA MERCED,1.5,7.333333333333333,1
CENTRO DE SALUD NUEVA AURORA,-0.2260872,-78.5316781,MANUELA SAENZ,LA LIBERTAD,2.0,7.0,1
CANCHAS LA BALVINA,-0.365404,-78.476824,LOS CHILLOS,AMAGUAÑA,50.0,0.92,3
TROLE CHIMBACALLE,-0.2385789,-78.5163988,ELOY ALFARO,LA MAGDALENA,3.8,5.0,2
UEM CALDERON,-0.0761405,-78.4169646,CALDERON,CALDERON,30.0,4.566666666666666,2
LIGA BARRIAL MONTESERRIN FLQ,-0.160317,-78.4574619,EUGENIO ESPEJO,JIPIJAPA,4.5,2.2222222222222223,3
TROLE AJAVI,-0.2685858,-78.5338019,ELOY ALFARO,SOLANDA,4.5,6.888888888888889,1
ESTADIO DE LIGA BARRIAL COLINAS,-0.0975032,-78.5141368,LA DELICIA,EL CONDADO,15.0,3.7333333333333334,2
PARQUE PIO JARAMILLO ALVARADO,-0.1411062,-78.4757562,EUGENIO ESPEJO,KENNEDY,3.0,5.0,2
PARQUE SANTA LUCIA,-0.226562,-78.531597,MANUELA SAENZ,LA LIBERTAD,2.0,7.0,1
CASA SOMOS CARAPUNGO,-0.0897935,-78.4525298,CALDERON,CALDERON,30.0,4.566666666666666,2
PARQUE LINEAL BICENTENARIO4,-0.0586731,-78.4523052,CALDERON,CALDERON,30.0,4.566666666666666,2
PARQUE ECOLOGICO SANTA ANA 2,-0.241617,-78.520031,ELOY ALFARO,LA MAGDALENA,3.8,5.0,2
CAPILLA SAN JOSE DE POMASQUI,-0.0584684,-78.465693,LA DELICIA,POMASQUI,8.0,2.5,3
CANCHA LA VICTORIA,-0.366005,-78.4766483,LOS CHILLOS,AMAGUAÑA,50.0,0.92,3
PARQUE JULIO ANDRADE,-0.202192,-78.496162,LA MARISCAL,MARISCAL SUCRE,2.8,10.714285714285715,1
ESCUELA 29 DE JUNIO RUMICUCHO,0.0121414,-78.433332,LA DELICIA,SAN ANTONIO,80.0,0.3,4
CIUDADELA BICENTENARIO,-0.061698,-78.452894,CALDERON,CALDERON,30.0,4.566666666666666,2
LIGA BARRIAL SAN ENRIQUE DE VELASCO,-0.10192,-78.508343,LA DELICIA,EL CONDADO,15.0,3.7333333333333334,2
PARQUE CENTRAL DE TUMBACO,-0.212896,-78.405375,TUMBACO,TUMBACO,57.0,0.47368421052631576,4
PARQUE DE MATILDE ALVAREZ SISA,-0.341763,-78.549053,QUITUMBE,GUAMANI,12.0,4.083333333333333,2
COLEGIO NACIONAL GONZALO ESCUDERO,-0.2712867,-78.523185,ELOY ALFARO,LA ARGELIA,7.0,5.0,2
PARQUE CENTRAL DE PINTAG,-0.37114,-78.375533,LOS CHILLOS,PINTAG,544.0,0.03125,5
PARQUE SAN JUAN DE CALDERON,-0.0606598,-78.4264737,CALDERON,CALDERON,30.0,4.566666666666666,2
PARADA CAMIONETAS CUENDINATRANS,-0.3780111969,-78.4872512817,LOS CHILLOS,AMAGUAÑA,50.0,0.92,3
TROLE ESPAÑA,-0.2579741,-78.5297956,ELOY ALFARO,SAN BARTOLO,4.0,8.25,1
CASA COMUNAL CALDERON,-0.105569,-78.420036,CALDERON,CALDERON,30.0,4.566666666666666,2
PARQUE CARAPUNGO,-0.089368,-78.450792,CALDERON,CALDERON,30.0,4.566666666666666,2
AV. PATRIA,-0.209032,-78.494763,LA MARISCAL,MARISCAL SUCRE,2.8,10.714285714285715,1
AREA VERDE EL ARBOLITO DE GUABA,-0.385235,-78.5124033,LOS CHILLOS,AMAGUAÑA,50.0,0.92,3
BELLAVISTA,-0.19036,-78.4711217,EUGENIO ESPEJO,IÑAQUITO,5.5,8.909090909090908,1
PARQUE CUSCUNGO,-0.231266,-78.484833,MANUELA SAENZ,PUENGASI,15.0,3.2,3
IGLESIA SANTO CURA DE ARS,-0.093979,-78.500122,LA DELICIA,EL CONDADO,15.0,3.7333333333333334,2
CASA BARRIAL CONCEPCION SUR,-0.24254,-78.537587,ELOY ALFARO,CHILIBULO,5.0,5.2,2
EL TROJE,-0.3301372,-78.5260179,QUITUMBE,TURUBAMBA,6.0,9.0,1
PARQUE LA ALAMEDA,-0.2141322,-78.5009355,MANUELA SAENZ,ITCHIMBIA,8.0,6.625,1
LIGA PANAMERICADA SUR EL BLANQUEADO,-0.3103543,-78.5397583,QUITUMBE,QUITUMBE,10.0,6.2,2
PARQUE JULIO MATOVELLE,-0.21282,-78.5079671,MANUELA SAENZ,SAN JUAN,4.2,9.285714285714285,1
PARQUE SIDERAL CARAPUNGO,-0.0881737,-78.4493219,CALDERON,CALDERON,30.0,4.566666666666666,2
12 DE OCTUBRE,-0.207697,-78.489497,LA MARISCAL,MARISCAL SUCRE,2.8,10.714285714285715,1
CANCHA LIGA SAN SALVADOR,-0.206485,-78.525417,MANUELA SAENZ,SAN JUAN,4.2,9.285714285714285,1
LA CRUZ DE SANTA ANA,-0.135676,-78.420851,CALDERON,LLANO CHICO,15.0,1.2666666666666666,3
PARQUE CENTRAL DE AMAGUAÑA,-0.3752977,-78.5056998,LOS CHILLOS,AMAGUAÑA,50.0,0.92,3
ESCUELA PUEMBO,-0.1749544,-78.3582047,TUMBACO,PUEMBO,40.0,0.3,4
ESCUELA POLITECNICA NACIONAL,-0.209244,-78.48804,LA MARISCAL,MARISCAL SUCRE,2.8,10.714285714285715,1
ECOVIA ESTADIO CHIMBACALLE,-0.2452511,-78.5140528,ELOY ALFARO,CHIMBACALLE,3.1,10.96774193548387,1
PARQUE SAN VICENTE LAS CASAS,-0.1802196,-78.5122352,LA MARISCAL,BELISARIO QUEVEDO,2.5,11.2,1
COMITE PROMEJORAS BARRIO ESPEJO,-0.3022594,-78.5721645,QUITUMBE,LA ECUATORIANA,8.0,4.375,2
PARQUE CENTRAL OBRERO INDEPENDIENTE,-0.2476,-78.4859,MANUELA SAENZ,PUENGASI,15.0,3.2,3
PARQUE SAN ANTONIO DE PICHINCHA,-0.014851,-78.4480282,LA DELICIA,SAN ANTONIO,80.0,0.3,4
PARQUE EMBAJADA DE ALEMANIA,-0.0899,-78.4503,CALDERON,CALDERON,30.0,4.566666666666666,2
CDI MI PROVIDENCIA,-0.3443,-78.4944,LOS CHILLOS,AMAGUAÑA,50.0,0.92,3
PARQUE NUEVA AURORA,-0.3190667,-78.553069,QUITUMBE,GUAMANI,12.0,4.083333333333333,2
PARQUE VALLE DE MARIANITAS,-0.0768458,-78.4260226,CALDERON,CALDERON,30.0,4.566666666666666,2
PARQUE SAN ANTONIO,-0.014277,-78.435347,LA DELICIA,SAN ANTONIO,80.0,0.3,4
LIGA BARRIAL PAMPA ECUATORIANA,-0.3369855,-78.5792245,QUITUMBE,GUAMANI,12.0,4.083333333333333,2
PARQUE NUEVA AURORA,-0.319131,-78.5525,QUITUMBE,GUAMANI,12.0,4.083333333333333,2
LIGA DEORTIVA BARRIAL LIBERTAD DE CHILLOGALLO,-0.2861925,-78.5805415,QUITUMBE,CHILLOGALLO,18.0,1.7222222222222223,3
PARQUE LINEAL BICENTENARIO,-0.0622231,-78.4535101,CALDERON,CALDERON,30.0,4.566666666666666,2
PARQUE MEXICO,-0.1820572,-78.473378,EUGENIO ESPEJO,IÑAQUITO,5.5,8.909090909090908,1
PLAZA VERDEPAMBA,-0.378148,-78.373738,LOS CHILLOS,PINTAG,544.0,0.03125,5
GUAMANI,-0.342077,-78.549182,QUITUMBE,GUAMANI,12.0,4.083333333333333,2
SANTA ANITA,-0.095809,-78.402978,CALDERON,CALDERON,30.0,4.566666666666666,2
IGLESIA RUMICUCHO,0.0141475,-78.4389613,LA DELICIA,SAN ANTONIO,80.0,0.3,4
LIGA DEPORTIVA BARRIAL OBRERO INDEPENDIENTE,-0.2470378799,-78.4864877679,MANUELA SAENZ,PUENGASI,15.0,3.2,3
NUEVA AURORA,-0.314606,-78.54342,QUITUMBE,TURUBAMBA,6.0,9.0,1
VISTA HERMOSA,-0.145759,-78.463623,EUGENIO ESPEJO,SAN ISIDRO DEL INCA,7.0,1.5714285714285714,3
IGLESIA CORAZON DE JESUS,-0.0841015,-78.4746611,LA DELICIA,CARCELEN,7.5,2.933333333333333,3
LIGA BARRIAL COMITE DEL PUEBLO,-0.116312094,-78.4631347656,LA DELICIA,COMITE DEL PUEBLO,4.0,3.5,2
CASA COMUNAL COCOTOG,-0.138944,-78.425929,EUGENIO ESPEJO,ZAMBIZA,18.0,0.9444444444444444,3
PARQUE LINEAL BICENTENARIO5,-0.0567623,-78.4513711,LA DELICIA,POMASQUI,8.0,2.5,3
CANCHAS TOLA GRANDE,-0.210885,-78.377039,TUMBACO,TUMBACO,57.0,0.47368421052631576,4
ESTADIO ATAHUALPA CALDERON,-0.121721,-78.414839,CALDERON,CALDERON,30.0,4.566666666666666,2
ESTADIO SAN JOSE COCOTOG,-0.1388275,-78.4226562,EUGENIO ESPEJO,ZAMBIZA,18.0,0.9444444444444444,3
ESTADIO CHECHA,-0.12501,-78.311,TUMBACO,CHECA,55.0,0.12727272727272726,4
CANCHAS BARRIONUEVO,-0.255053,-78.533647,ELOY ALFARO,SAN BARTOLO,4.0,8.25,1
PARQUE SAN GREGORIO PUSUQUI,-0.0697274,-78.4795806,LA DELICIA,POMASQUI,8.0,2.5,3
LIGA BARRIAL PISULI,-0.0891738,-78.5205615,LA DELICIA,EL CONDADO,15.0,3.7333333333333334,2
MERCADO LAS CUADRAS,-0.2810405,-78.5534091,QUITUMBE,QUITUMBE,10.0,6.2,2
PARQUE SIDERAL CARAPUNGO,-0.0884965,-78.4488151,CALDERON,CALDERON,30.0,4.566666666666666,2
PARQUE TOCTIUCO,-0.212845,-78.522257,MANUELA SAENZ,SAN JUAN,4.2,9.285714285714285,1
ESCUELA ABDON CALDERON,-0.3048083,-78.5585467,QUITUMBE,QUITUMBE,10.0,6.2,2
ESTADIO DE LIGA SAN JUAN,-0.2124607,-78.512815,MANUELA SAENZ,SAN JUAN,4.2,9.285714285714285,1
ESTADIO DE PUENGASI,-0.2494,-78.5013,MANUELA SAENZ,PUENGASI,15.0,3.2,3
CANCHAS DEPORTIVAS LA VENECIA,-0.3380105,-78.5412171,QUITUMBE,TURUBAMBA,6.0,9.0,1
PARQUE CENTRAL DE CALACALI,-0.0002093,-78.514491,CHOCO ANDINO,CALACALI,100.0,0.06,5
CAPILLA VIRGEN DEL CISNE,-0.240045,-78.481598,MANUELA SAENZ,PUENGASI,15.0,3.2,3
PARQUE CARAPUNGO,-0.0900879,-78.448481,CALDERON,CALDERON,30.0,4.566666666666666,2
PARQUE ESPAÑA,-0.2596853,-78.5287279,ELOY ALFARO,SAN BARTOLO,4.0,8.25,1
PARQUE MARTHA BUCARAM,-0.2969715,-78.5608139,QUITUMBE,LA ECUATORIANA,8.0,4.375,2
LIGA BARRIAL SANTOS PAMBA,-0.3322148,-78.5728087,QUITUMBE,GUAMANI,12.0,4.083333333333333,2
RUMILOMA,-0.1819141,-78.5161443,LA MARISCAL,BELISARIO QUEVEDO,2.5,11.2,1
ESTADIO LIGA LA BALVINA,-0.3583517,-78.480785,LOS CHILLOS,AMAGUAÑA,50.0,0.92,3
PARQUE UNION NACIONAL,-0.1578345,-78.4954233,EUGENIO ESPEJO,RUMIPAMBA,4.5,2.0,3
LIGA BARRIAL QUITUS COLONIAL,-0.3081067,-78.532975,QUITUMBE,QUITUMBE,10.0,6.2,2
CASA SOMOS COTOCOLLAO,-0.1106306,-78.4995408,LA DELICIA,COTOCOLLAO,10.0,1.8,3
ESTADIO SIXTO DURAN BALLEN,-0.2577263,-78.518865,ELOY ALFARO,LA FERROVIARIA,3.0,9.666666666666666,1
CANCHA DE FUTBOL CORDOBES,-0.325607,-78.475538,LOS CHILLOS,CONOCOTO,50.0,0.72,3
PARQUE CARAPUNGO,-0.1072018,-78.4541933,CALDERON,CALDERON,30.0,4.566666666666666,2
COLEGIO NACIONAL ALANGASI,-0.306535,-78.416525,LOS CHILLOS,ALANGASI,40.0,0.55,4
COLEGIO PINTAG,-0.3735561,-78.3732793,LOS CHILLOS,PINTAG,544.0,0.03125,5
LIGA BARRIAL LA LIBERTAD,-0.2308683,-78.5274617,MANUELA SAENZ,LA LIBERTAD,2.0,7.0,1
PARQUE GABRIEL GARCIA MORENO,-0.2158401,-78.506709,MANUELA SAENZ,CENTRO HISTORICO,3.5,17.428571428571427,1
CANCHAS DE FUTBOL SAN ANTONIO,0.0033983,-78.4536655,LA DELICIA,SAN ANTONIO,80.0,0.3,4
ALANGASI,-0.3033832,-78.4143592,LOS CHILLOS,ALANGASI,40.0,0.55,4
ESTADIO DE CAUPICHO,-0.3311822,-78.5381951,QUITUMBE,TURUBAMBA,6.0,9.0,1
PARQUE SOLANDA 2,-0.2646827,-78.5388747,ELOY ALFARO,SOLANDA,4.5,6.888888888888889,1
PLAZA REPUBLICA,-0.213028,-78.503382,MANUELA SAENZ,SAN JUAN,4.2,9.285714285714285,1
CANCHA DE FUTBOL SAN PEDRO Y SAN PABLO,-0.219275,-78.484781,MANUELA SAENZ,ITCHIMBIA,8.0,6.625,1
PARQUE CENTRO DE SALUD RUMIHURCO,-0.094545,-78.49924,LA DELICIA,EL CONDADO,15.0,3.7333333333333334,2
ECOVIA SANMARTIN,-0.1919821,-78.4810874,EUGENIO ESPEJO,IÑAQUITO,5.5,8.909090909090908,1
LIGA BARRIAL SAN ROQUE,-0.2176784,-78.5223096,MANUELA SAENZ,LA LIBERTAD,2.0,7.0,1
TROLE SANTO DOMINGO,-0.2241213,-78.5128591,MANUELA SAENZ,CENTRO HISTORICO,3.5,17.428571428571427,1
ESTADIO SAN JOSE COCOTOG,-0.1401324,-78.4232864,EUGENIO ESPEJO,ZAMBIZA,18.0,0.9444444444444444,3
PARQUE DE CONOCOTO,-0.2919108,-78.47729,LOS CHILLOS,CONOCOTO,50.0,0.72,3
TROLE CUERO Y CAICEDO,-0.1919942,-78.493343,EUGENIO ESPEJO,IÑAQUITO,5.5,8.909090909090908,1
ESCUELA ABDON CALDERON,-0.3036864,-78.5585462,QUITUMBE,QUITUMBE,10.0,6.2,2
ECOVIA PUJILI,-0.2595034,-78.522486,ELOY ALFARO,LA FERROVIARIA,3.0,9.666666666666666,1
JARDIN DEL VALLE,-0.229112,-78.481459,MANUELA SAENZ,PUENGASI,15.0,3.2,3
TROLE QUITO SUR,-0.284065,-78.544445,QUITUMBE,QUITUMBE,10.0,6.2,2
